correlation,froi1,froi2,same_cyto,same_category,perm
0.6002037016165325,mOTS,OTS,1,0,13
0.09291450361306185,mOTS,PPA,0,0,13
0.23711117190848296,mOTS,pFus,0,0,13
0.17433697901801756,mOTS,pOTS,0,1,13
0.1157171641448697,OTS,PPA,0,0,13
0.25746719555791703,OTS,pFus,0,0,13
0.17923753945382848,OTS,pOTS,0,0,13
0.34607259092589854,PPA,pFus,0,0,13
0.3016375923484443,PPA,pOTS,0,0,13
0.8625994087280459,pFus,pOTS,1,0,13
0.6492542460232936,mFus,mOTS,1,0,14
0.8934349237703332,mFus,OTS,1,0,14
0.2034635059230777,mFus,PPA,0,0,14
0.5066754657092031,mFus,pFus,0,1,14
0.3421275646721562,mFus,pOTS,0,0,14
0.8436446267613141,mOTS,OTS,1,0,14
0.05338289272383194,mOTS,PPA,0,0,14
0.2839386325774476,mOTS,pFus,0,0,14
0.2013245582999593,mOTS,pOTS,0,1,14
0.1398765802731791,OTS,PPA,0,0,14
0.3947319208377585,OTS,pFus,0,0,14
0.28715807077054195,OTS,pOTS,0,0,14
0.32862433934091817,PPA,pFus,0,0,14
0.34906922884338154,PPA,pOTS,0,0,14
0.870491605830921,pFus,pOTS,1,0,14
0.5904433027364209,mFus,mOTS,1,0,15
0.7373160118136689,mFus,OTS,1,0,15
0.11684353162730984,mFus,PPA,0,0,15
0.3476139844687055,mFus,pFus,0,1,15
0.18444607050302497,mFus,pOTS,0,0,15
0.8926356456836708,mOTS,OTS,1,0,15
0.08508166430076536,mOTS,PPA,0,0,15
0.354335311898738,mOTS,pFus,0,0,15
0.2468470273459374,mOTS,pOTS,0,1,15
0.13273794036168898,OTS,PPA,0,0,15
0.3704034008459174,OTS,pFus,0,0,15
0.1873770164279659,OTS,pOTS,0,0,15
0.28129241179135284,PPA,pFus,0,0,15
0.24429119044767972,PPA,pOTS,0,0,15
0.8183906731667856,pFus,pOTS,1,0,15
0.5326888846098023,mFus,mOTS,1,0,16
0.8781708176119144,mFus,OTS,1,0,16
0.14180328432112668,mFus,PPA,0,0,16
0.5083308529453892,mFus,pFus,0,1,16
0.23200451729267993,mFus,pOTS,0,0,16
0.646503059413942,mOTS,OTS,1,0,16
0.041406626860001745,mOTS,PPA,0,0,16
0.2204267692846127,mOTS,pFus,0,0,16
0.16712978809317594,mOTS,pOTS,0,1,16
0.05648590684355742,OTS,PPA,0,0,16
0.45418411631757866,OTS,pFus,0,0,16
0.22246756884412927,OTS,pOTS,0,0,16
0.2645253767643821,PPA,pFus,0,0,16
0.31063417268736804,PPA,pOTS,0,0,16
0.845722478544872,pFus,pOTS,1,0,16
0.58701386662363,mFus,mOTS,1,0,17
0.8543573958616996,mFus,OTS,1,0,17
0.073237159935831,mFus,PPA,0,0,17
0.47898422718730527,mFus,pFus,0,1,17
0.29345870696581217,mFus,pOTS,0,0,17
0.7069758205818705,mOTS,OTS,1,0,17
0.09031067993232977,mOTS,PPA,0,0,17
0.2819108364892176,mOTS,pFus,0,0,17
0.20068278980365398,mOTS,pOTS,0,1,17
0.09570004167124828,OTS,PPA,0,0,17
0.2982988546424208,OTS,pFus,0,0,17
0.18107644102166318,OTS,pOTS,0,0,17
0.2875393847528091,PPA,pFus,0,0,17
0.28601060378065585,PPA,pOTS,0,0,17
0.8696362694841836,pFus,pOTS,1,0,17
0.6031685651954929,mFus,mOTS,1,0,18
0.8180960117806167,mFus,OTS,1,0,18
0.18499284266130026,mFus,PPA,0,0,18
0.5605574004515034,mFus,pFus,0,1,18
0.4563818168971167,mFus,pOTS,0,0,18
0.7792089719013393,mOTS,OTS,1,0,18
0.06140175722397494,mOTS,PPA,0,0,18
0.3219021120216944,mOTS,pFus,0,0,18
0.2713073652282809,mOTS,pOTS,0,1,18
0.10495563424251907,OTS,PPA,0,0,18
0.28379287615566556,OTS,pFus,0,0,18
0.22021103156284522,OTS,pOTS,0,0,18
0.3001634940143168,PPA,pFus,0,0,18
0.2880471762523777,PPA,pOTS,0,0,18
0.9124895537719113,pFus,pOTS,1,0,18
0.6752373683598843,mFus,mOTS,1,0,19
0.7636454420645344,mFus,OTS,1,0,19
0.15822443466365116,mFus,PPA,0,0,19
0.554512870058332,mFus,pFus,0,1,19
0.33971109901939844,mFus,pOTS,0,0,19
0.7544998370003343,mOTS,OTS,1,0,19
0.045614486878851265,mOTS,PPA,0,0,19
0.2728674310612928,mOTS,pFus,0,0,19
0.1633267498816061,mOTS,pOTS,0,1,19
0.04316692458693245,OTS,PPA,0,0,19
0.31425427956408314,OTS,pFus,0,0,19
0.17991720066929817,OTS,pOTS,0,0,19
0.3338604470304032,PPA,pFus,0,0,19
0.2863517328167782,PPA,pOTS,0,0,19
0.859685441720585,pFus,pOTS,1,0,19
0.6408934467047278,mFus,mOTS,1,0,20
0.9134663724310508,mFus,OTS,1,0,20
0.13413825839032864,mFus,PPA,0,0,20
0.5516870281777964,mFus,pFus,0,1,20
0.28678095696964934,mFus,pOTS,0,0,20
0.6363130191405053,mOTS,OTS,1,0,20
0.03823878234818256,mOTS,PPA,0,0,20
0.2810392738661448,mOTS,pFus,0,0,20
0.17021075192604737,mOTS,pOTS,0,1,20
0.048760881851251235,OTS,PPA,0,0,20
0.3669381172740485,OTS,pFus,0,0,20
0.16576851108073304,OTS,pOTS,0,0,20
0.3381341506541508,PPA,pFus,0,0,20
0.32180182713423283,PPA,pOTS,0,0,20
0.8361603003015005,pFus,pOTS,1,0,20
0.6051796594094975,mFus,mOTS,1,0,21
0.8734826972164785,mFus,OTS,1,0,21
0.13049081254907088,mFus,PPA,0,0,21
0.4614258463746069,mFus,pFus,0,1,21
0.3164711710457718,mFus,pOTS,0,0,21
0.7554308645298005,mOTS,OTS,1,0,21
0.038279149897852076,mOTS,PPA,0,0,21
0.23848653444110404,mOTS,pFus,0,0,21
0.18619844405932012,mOTS,pOTS,0,1,21
0.12434600532296859,OTS,PPA,0,0,21
0.3335599326776882,OTS,pFus,0,0,21
0.19445108444964648,OTS,pOTS,0,0,21
0.32286857246257294,PPA,pFus,0,0,21
0.3489373758817069,PPA,pOTS,0,0,21
0.8856301330937594,pFus,pOTS,1,0,21
0.6367888409609646,mFus,mOTS,1,0,22
0.8700095094699646,mFus,OTS,1,0,22
0.07915906987292903,mFus,PPA,0,0,22
0.45759173735656034,mFus,pFus,0,1,22
0.2825298888610784,mFus,pOTS,0,0,22
0.8301226121482861,mOTS,OTS,1,0,22
0.03438846899551379,mOTS,PPA,0,0,22
0.25894200758307057,mOTS,pFus,0,0,22
0.14712607786812323,mOTS,pOTS,0,1,22
0.11838111655969585,OTS,PPA,0,0,22
0.32804666709112856,OTS,pFus,0,0,22
0.18761894568628176,OTS,pOTS,0,0,22
0.3087710135132295,PPA,pFus,0,0,22
0.2968016239678842,PPA,pOTS,0,0,22
0.8841883790823328,pFus,pOTS,1,0,22
0.5864864485117055,mFus,mOTS,1,0,23
0.8783249593105283,mFus,OTS,1,0,23
0.14109182356134933,mFus,PPA,0,0,23
0.5242122985574055,mFus,pFus,0,1,23
0.26729975851048937,mFus,pOTS,0,0,23
0.6852831808801109,mOTS,OTS,1,0,23
0.06162197347818961,mOTS,PPA,0,0,23
0.29229638745036096,mOTS,pFus,0,0,23
0.17534992916060937,mOTS,pOTS,0,1,23
0.14239149873975632,OTS,PPA,0,0,23
0.3430698322107066,OTS,pFus,0,0,23
0.20335986890976782,OTS,pOTS,0,0,23
0.3067997300970056,PPA,pFus,0,0,23
0.3003511308314569,PPA,pOTS,0,0,23
0.8501441540452678,pFus,pOTS,1,0,23
0.5811056615543514,mFus,mOTS,1,0,24
0.8954357034937911,mFus,OTS,1,0,24
0.10592433325682322,mFus,PPA,0,0,24
0.4096286151912216,mFus,pFus,0,1,24
0.23053242322504738,mFus,pOTS,0,0,24
0.5617076653230779,mOTS,OTS,1,0,24
0.09995037231620901,mOTS,PPA,0,0,24
0.2530449355229002,mOTS,pFus,0,0,24
0.1912728826236389,mOTS,pOTS,0,1,24
0.08357876915670863,OTS,PPA,0,0,24
0.3153567161032297,OTS,pFus,0,0,24
0.17164654977050547,OTS,pOTS,0,0,24
0.338680087496248,PPA,pFus,0,0,24
0.3290720659534796,PPA,pOTS,0,0,24
0.8770176263228461,pFus,pOTS,1,0,24
0.6317448982929785,mFus,mOTS,1,0,25
0.8750283750315918,mFus,OTS,1,0,25
0.14483192626882913,mFus,PPA,0,0,25
0.41597253388714905,mFus,pFus,0,1,25
0.26067315299545085,mFus,pOTS,0,0,25
0.6065147945178349,mOTS,OTS,1,0,25
